Team,SU,ATS,avg_points_for,avg_points_against,avg_points_for_ha,avg_points_against_ha,ROff,RDef,last_5_wins,date
AC,13-17,12-15,70.2,72.2,77.9,68.8,9.4,19.2,1,2026-03-07
AFA,3-27,10-20,62.2,80.1,57.0,79.4,5.6,21.2,0,2026-03-07
ALA,22-8,13-17-0,92.0,83.6,93.6,80.7,11.4,27.4,4,2026-03-07
ALBY,11-20,11-17,71.8,72.6,65.9,75.9,8.6,19.7,2,2026-03-07
APP,19-12,16-13-0,72.0,65.4,76.3,62.7,10.2,26.3,2,2026-03-07
ARIZ,28-2,18-12-0,86.6,68.2,83.2,75.6,10.8,26.7,5,2026-03-07
ARK,22-8,20-10-0,90.3,79.8,84.8,86.4,9.8,21.6,3,2026-03-07
ASU,16-14,19-11-0,77.6,77.6,75.4,84.5,8.4,19.7,3,2026-03-07
AUB,16-14,13-17-0,83.5,79.7,78.2,85.0,12.9,20.7,2,2026-03-07
BAY,15-15,13-16-0,82.1,77.0,89.6,76.7,10.3,24.6,2,2026-03-07
BC,10-20,14-16-0,67.1,70.7,69.3,66.8,8.9,24.8,1,2026-03-07
BRAD,21-11,13-18-0,77.8,73.4,78.9,68.1,9.4,23.8,3,2026-03-07
BRY,9-21,11-17,65.1,72.3,57.6,74.5,7.8,20.8,1,2026-03-07
BSU,19-11,16-12-0,78.3,73.3,79.0,77.5,9.8,23.1,4,2026-03-07
BUT,15-15,16-14-0,79.3,77.3,76.0,84.0,10.9,19.9,2,2026-03-07
BYU,20-10,11-19,84.4,75.8,88.8,72.7,10.7,25.9,1,2026-03-07
CAL,21-9,16-13-0,77.7,72.3,79.8,80.2,6.6,23.4,4,2026-03-07
CAMP,14-17,17-12-0,78.9,77.6,71.9,82.8,10.4,19.5,2,2026-03-07
CARK,21-11,19-11-0,80.7,74.4,86.9,67.3,10.0,25.7,4,2026-03-07
CBU,22-8,17-13-0,72.6,67.4,71.9,71.9,11.6,24.7,3,2026-03-07
CCAR,19-12,19-11-0,73.4,71.8,77.4,70.2,9.9,30.1,4,2026-03-07
CIN,17-13,14-16-0,73.7,67.5,69.1,73.2,10.0,21.7,4,2026-03-07
CIT,11-21,14-15-0,70.2,77.3,66.1,80.5,6.5,20.1,2,2026-03-07
CLEM,21-9,17-13-0,74.3,66.0,76.4,61.7,8.7,24.5,1,2026-03-07
COLO,17-13,15-15-0,79.9,78.7,84.8,75.7,9.6,24.3,3,2026-03-07
CONN,27-3,11-19,78.7,65.2,76.9,67.3,9.7,22.1,4,2026-03-07
COR,14-12,10-14,88.1,83.0,86.1,84.8,8.7,21.5,3,2026-03-07
CP,13-18,15-14-0,81.7,85.7,84.1,82.8,9.4,25.9,3,2026-03-07
CSB,8-23,12-17,73.0,81.3,69.8,86.6,8.6,20.7,0,2026-03-07
CSF,16-15,19-10-0,83.5,82.4,78.5,85.5,8.0,21.9,3,2026-03-07
CSN,19-12,13-16-0,81.7,79.4,87.1,73.1,11.2,27.5,3,2026-03-07
CSU,20-10,18-11-0,77.1,71.2,80.3,68.6,7.9,25.1,5,2026-03-07
DART,11-15,12-13,75.3,75.4,76.4,72.3,8.3,26.8,1,2026-03-07
DAV,18-12,13-15-0,72.6,67.8,66.4,64.7,9.8,20.7,3,2026-03-07
DEL,10-20,16-13-0,68.7,73.7,69.9,75.2,5.5,23.1,1,2026-03-07
DEP,16-14,18-12-0,70.7,69.4,73.4,67.7,8.8,23.0,3,2026-03-07
DREX,16-15,17-13-0,67.9,67.1,70.1,63.9,8.8,23.9,3,2026-03-07
DRKE,14-19,12-19,75.8,74.9,72.1,78.1,7.3,23.5,2,2026-03-07
DUKE,28-2,18-12-0,83.2,62.5,86.0,60.4,11.3,27.1,5,2026-03-07
DUQ,16-14,12-16,79.1,75.7,82.5,73.8,9.1,24.2,1,2026-03-07
ELON,14-17,11-18,78.6,78.1,75.2,76.5,9.7,21.9,1,2026-03-07
ETSU,21-10,14-15-0,78.2,68.9,81.2,66.1,8.6,24.7,2,2026-03-07
FAU,17-13,15-13-0,79.8,74.4,71.8,77.5,10.3,23.4,3,2026-03-07
FGCU,16-17,8-22,77.8,76.5,71.2,79.3,8.9,21.5,3,2026-03-07
FIU,14-16,15-12-0,80.5,78.3,83.0,72.2,12.1,24.1,2,2026-03-07
FLA,24-6,17-13-0,87.8,71.5,86.6,71.4,10.8,27.0,5,2026-03-07
FOR,16-14,14-13-0,70.4,66.0,70.4,61.3,12.0,25.6,3,2026-03-07
FRES,13-17,20-9-0,73.6,72.6,72.3,77.0,6.9,23.5,1,2026-03-07
FSU,16-14,16-14-0,79.6,77.5,82.8,74.6,10.5,22.4,4,2026-03-07
FUR,19-12,13-15-0,76.0,70.3,76.1,73.2,8.1,25.5,3,2026-03-07
GASO,19-15,15-17-0,81.0,80.1,79.3,83.1,9.1,21.4,4,2026-03-07
GC,19-11,16-14-0,75.2,68.4,78.1,67.5,10.4,25.6,3,2026-03-07
GMU,22-8,15-14-0,73.5,68.0,75.2,65.2,7.6,24.4,1,2026-03-07
GT,11-19,12-18,73.7,77.4,76.8,86.0,8.0,23.1,0,2026-03-07
GTWN,13-17,12-18,74.4,73.8,78.8,74.9,10.3,23.3,0,2026-03-07
GW,17-13,15-14-0,83.3,73.8,81.4,79.1,11.4,22.6,3,2026-03-07
HAMP,13-18,16-13-0,70.0,70.6,63.2,74.1,10.0,20.3,1,2026-03-07
HOU,25-5,15-15-0,77.5,62.3,71.9,66.5,10.4,20.8,2,2026-03-07
HP,28-4,14-15-0,90.4,70.1,93.7,64.4,10.4,24.2,5,2026-03-07
IDHO,17-14,12-16,79.0,73.8,85.2,70.0,9.1,25.6,3,2026-03-07
IDST,12-19,13-15-0,74.5,76.2,80.2,75.9,10.6,22.4,2,2026-03-07
IND,18-12,14-16-0,78.7,71.5,71.0,77.9,5.5,20.6,1,2026-03-07
ISU,24-6,17-13-0,81.6,65.8,86.1,62.6,10.1,23.7,2,2026-03-07
JOES,20-10,16-12-0,73.2,69.8,77.5,67.1,9.9,25.3,5,2026-03-07
JVST,14-16,12-15,73.3,68.6,72.9,75.5,10.1,22.7,1,2026-03-07
KENN,18-12,13-15-0,83.7,76.2,77.3,79.1,12.3,24.7,4,2026-03-07
KSU,12-18,12-18,79.0,80.3,73.7,83.4,8.9,19.9,2,2026-03-07
KU,21-9,18-12-0,75.6,68.8,79.6,64.9,8.3,28.1,2,2026-03-07
L-IL,7-23,10-20,66.7,76.9,69.4,76.1,8.7,21.6,1,2026-03-07
LAS,9-21,15-14-0,66.4,72.8,61.9,76.3,9.0,20.5,2,2026-03-07
LIB,24-6,11-16,78.4,70.1,83.5,68.1,4.8,23.1,2,2026-03-07
LIU,22-10,15-17-0,74.3,71.6,74.9,66.0,10.6,22.0,4,2026-03-07
LOU,21-9,14-16-0,85.7,71.9,78.2,79.6,9.8,23.2,2,2026-03-07
LSU,15-15,17-13-0,81.1,77.7,83.4,76.3,11.9,24.0,1,2026-03-07
LT,17-13,15-12-0,69.5,65.5,61.9,70.7,10.6,22.3,3,2026-03-07
MARQ,11-19,12-18,75.0,75.8,77.8,71.9,10.3,22.6,2,2026-03-07
MASSL,14-17,15-13-0,74.9,75.8,84.4,72.0,12.5,26.3,3,2026-03-07
ME,8-23,13-17-0,62.7,68.7,63.3,71.9,4.7,19.1,2,2026-03-07
MEHST,16-16,20-10-0,69.8,67.5,77.8,65.0,8.9,22.7,3,2026-03-07
MER,19-12,19-9-0,83.0,75.5,92.4,72.4,12.1,25.7,3,2026-03-07
MIA,24-6,17-13-0,82.4,70.0,87.6,67.8,10.4,25.1,4,2026-03-07
MINN,14-16,14-16-0,70.2,68.5,74.2,62.8,7.1,23.5,3,2026-03-07
MISS,12-18,10-19,75.8,76.3,79.8,77.1,9.1,23.1,1,2026-03-07
MIZZ,20-10,14-16-0,79.8,74.8,85.2,72.8,9.5,23.4,3,2026-03-07
MORE,20-12,18-11-0,75.5,74.2,70.9,78.2,10.5,21.2,5,2026-03-07
MOSU,14-16,15-12-0,75.7,73.9,79.4,72.2,10.6,21.4,1,2026-03-07
MRST,18-11,14-14-0,69.9,63.7,68.2,68.0,7.6,22.8,2,2026-03-07
MSM,15-16,17-13-0,68.4,70.4,67.8,72.9,9.4,23.9,4,2026-03-07
MSST,13-17,10-20,77.6,81.2,75.9,76.0,10.1,26.5,1,2026-03-07
MTU,16-14,12-15,75.7,72.9,71.2,75.2,8.8,21.9,4,2026-03-07
NAU,10-20,14-13-0,72.0,76.5,63.0,77.4,6.3,18.5,1,2026-03-07
NCST,19-11,14-16-0,83.5,75.7,84.0,69.8,9.9,25.8,1,2026-03-07
ND,13-17,15-15-0,74.6,75.3,69.9,76.5,9.4,23.2,2,2026-03-07
NDSU,25-7,17-12-0,81.3,70.4,86.1,67.5,10.4,24.5,4,2026-03-07
NE,7-23,11-19,74.8,80.8,72.4,80.0,7.8,19.8,1,2026-03-07
NEOM,16-16,14-14-0,76.8,76.5,71.1,78.2,7.3,22.7,3,2026-03-07
NEV,19-11,16-14-0,75.9,72.4,77.6,68.8,9.9,24.4,2,2026-03-07
NJIT,15-16,18-12-0,67.7,74.1,70.9,70.1,9.2,23.9,1,2026-03-07
NMSU,14-15,12-14,75.6,72.2,76.9,68.4,10.5,25.3,3,2026-03-07
NW,13-17,13-17-0,73.4,72.4,66.8,75.2,6.4,19.6,3,2026-03-07
OKLA,16-14,12-18,82.6,77.2,76.5,82.0,8.1,21.7,3,2026-03-07
OKST,18-12,13-17-0,84.2,82.5,89.6,81.3,10.1,25.5,2,2026-03-07
ORE,11-19,11-19,70.7,73.9,73.3,69.9,10.5,22.0,2,2026-03-07
OSU,19-11,15-15-0,80.1,72.8,85.2,72.5,7.3,24.1,3,2026-03-07
PAC,17-14,15-14-0,73.2,68.9,73.4,62.8,10.4,25.9,1,2026-03-07
PEAY,22-8,15-13-0,81.6,72.6,88.5,68.5,9.2,22.5,3,2026-03-07
PITT,11-19,13-17-0,70.1,71.3,63.3,69.7,9.1,20.7,2,2026-03-07
PORT,15-18,15-16-0,74.7,78.4,62.1,80.4,7.5,21.0,3,2026-03-07
PRE,15-17,16-13-0,72.4,72.2,65.8,73.1,9.5,20.6,2,2026-03-07
PRIN,9-19,15-12-0,69.1,71.8,67.2,77.0,8.4,21.6,1,2026-03-07
PROV,14-16,17-13-0,85.8,84.2,84.7,88.8,9.4,26.7,3,2026-03-07
PUR,23-7,13-17-0,81.9,69.8,84.3,71.2,9.4,22.6,2,2026-03-07
QNC,19-13,13-17-0,84.3,82.6,78.8,85.7,8.6,20.4,4,2026-03-07
QUIN,19-12,13-17-0,75.4,71.8,75.2,69.1,13.4,22.9,2,2026-03-07
RICH,15-15,15-14-0,77.0,73.7,73.3,77.0,6.6,20.9,1,2026-03-07
SAC,10-20,12-15,78.8,82.5,71.9,86.6,9.3,20.6,1,2026-03-07
SAM,18-13,16-13-0,78.8,74.9,81.7,68.9,6.7,26.5,4,2026-03-07
SBON,15-15,10-19,76.9,75.3,79.4,74.5,10.5,22.5,1,2026-03-07
SCAR,12-18,13-17-0,75.3,76.7,69.9,82.6,7.4,20.9,1,2026-03-07
SEA,20-12,13-17-0,72.3,67.2,68.8,72.2,8.1,21.3,4,2026-03-07
SF,16-15,13-17-0,74.4,73.3,76.7,73.6,9.5,22.4,2,2026-03-07
SHSU,21-9,18-9-0,83.3,74.3,79.7,80.2,9.9,23.6,4,2026-03-07
SIE,20-11,17-14-0,70.8,66.5,74.1,65.6,9.5,22.8,3,2026-03-07
SJSU,8-22,14-15-0,71.2,77.9,76.1,76.7,9.8,17.9,2,2026-03-07
SLU,27-3,17-12-0,88.8,68.6,82.1,71.3,7.8,27.9,3,2026-03-07
SMU,19-11,13-17-0,85.2,78.0,77.4,80.6,10.1,24.6,2,2026-03-07
STAN,19-11,17-13-0,76.1,72.6,71.7,74.3,8.8,20.0,3,2026-03-07
STON,17-14,18-11-0,71.2,70.4,76.6,69.0,7.4,24.6,2,2026-03-07
STONE,12-20,15-14-0,66.9,69.0,61.5,69.9,7.6,24.9,3,2026-03-07
STT,24-8,15-14-0,83.2,71.8,86.9,68.3,5.6,27.3,4,2026-03-07
SUU,10-20,15-12-0,76.8,79.8,87.7,74.9,9.8,26.3,2,2026-03-07
SYR,15-15,14-16-0,75.4,74.0,78.4,69.8,8.1,23.7,1,2026-03-07
TCU,20-10,17-13-0,78.1,71.6,77.6,66.9,10.6,22.4,4,2026-03-07
TENN,21-9,13-17-0,80.0,68.9,85.9,65.3,15.2,27.1,3,2026-03-07
TEX,18-12,16-13-0,84.3,76.5,85.6,71.1,11.0,25.9,2,2026-03-07
TNST,22-9,17-11-0,80.1,73.5,86.4,72.1,10.3,25.8,5,2026-03-07
TOWS,17-14,13-16-0,68.8,66.3,72.3,60.9,11.4,26.6,3,2026-03-07
TTU,22-8,17-13-0,81.5,72.2,76.0,73.9,7.0,23.6,3,2026-03-07
TXAM,20-10,17-13-0,88.3,79.1,80.7,83.4,9.0,23.5,3,2026-03-07
UCD,18-12,16-12-0,78.1,74.8,76.2,81.1,7.1,21.6,3,2026-03-07
UCI,21-10,16-13-0,77.3,68.0,83.0,67.9,10.9,29.5,4,2026-03-07
UCLA,20-10,13-17-0,77.6,71.0,69.0,75.9,9.2,18.1,3,2026-03-07
UCSB,18-12,12-16,78.2,72.8,85.9,71.7,10.0,25.5,1,2026-03-07
UCSD,21-10,15-14-0,76.4,70.3,72.1,70.5,8.7,24.6,4,2026-03-07
UGA,21-9,15-15-0,90.0,78.7,80.8,80.6,10.8,21.3,4,2026-03-07
UIC,18-14,16-14-0,75.8,70.1,77.5,65.9,10.4,23.6,3,2026-03-07
UK,19-11,15-15-0,81.4,73.4,86.3,66.9,10.5,25.4,2,2026-03-07
UMBC,21-8,16-11-0,75.5,67.1,75.5,63.4,7.4,27.1,5,2026-03-07
UNC,24-6,17-13-0,80.4,70.9,77.2,79.6,9.3,22.3,4,2026-03-07
UNCA,15-16,13-15-0,73.5,72.9,71.8,76.6,9.2,20.7,3,2026-03-07
UNCG,14-18,13-17-0,78.8,80.7,75.7,87.0,7.8,22.2,2,2026-03-07
UND,17-16,18-12-0,77.3,77.8,71.7,81.6,6.9,18.6,2,2026-03-07
UNH,9-20,12-15,69.1,74.3,64.2,78.4,8.4,21.8,1,2026-03-07
UNI,21-12,17-15-0,69.4,60.8,66.5,62.6,5.3,23.0,3,2026-03-07
UNM,22-8,15-14-0,80.4,70.1,76.5,69.8,7.9,24.3,3,2026-03-07
URI,16-14,13-17-0,70.9,68.5,68.0,72.1,8.0,19.1,2,2026-03-07
USC,18-12,13-16-0,78.9,77.4,82.6,76.6,10.5,24.8,0,2026-03-07
USM,18-15,16-15-0,74.5,73.8,72.5,78.7,9.2,23.2,4,2026-03-07
USU,24-6,12-17,82.6,70.5,85.6,67.8,8.8,22.7,2,2026-03-07
UTA,16-13,14-13-0,70.4,67.1,67.2,71.1,9.1,22.3,2,2026-03-07
UTAH,10-20,13-17-0,74.6,78.6,68.5,76.7,8.5,21.5,1,2026-03-07
UTECH,18-13,17-11-0,76.1,73.7,82.1,68.4,8.6,26.6,3,2026-03-07
UTEP,11-19,13-14-0,69.6,72.7,75.7,70.7,9.7,22.7,1,2026-03-07
UVA,26-4,15-15-0,81.0,68.1,83.8,63.6,11.9,24.6,4,2026-03-07
UVM,20-11,13-16-0,74.1,69.2,75.9,65.2,7.9,26.4,4,2026-03-07
UVU,23-7,13-14-0,80.5,67.7,76.4,77.8,9.7,21.3,5,2026-03-07
VAN,23-7,15-14-0,87.0,74.9,83.0,78.5,8.4,20.9,2,2026-03-07
VILL,23-7,18-12-0,77.1,70.3,79.8,68.6,9.9,19.1,3,2026-03-07
VT,19-11,18-12-0,78.7,74.2,76.0,78.2,7.2,23.0,2,2026-03-07
WAG,14-16,15-12-0,71.8,71.9,70.9,76.2,9.9,22.2,5,2026-03-07
WAKE,15-15,13-17-0,78.8,77.0,83.3,77.6,8.2,21.4,2,2026-03-07
WASH,15-15,18-12-0,76.7,72.7,72.8,74.2,9.8,22.2,3,2026-03-07
WCU,14-15,13-14-0,78.9,77.8,73.8,85.1,10.5,22.1,5,2026-03-07
WICH,20-10,19-10-0,77.9,70.5,78.1,64.3,12.6,24.8,5,2026-03-07
WIN,22-10,12-17,84.2,75.1,89.4,69.8,12.1,27.4,3,2026-03-07
WIS,21-9,17-13-0,82.8,75.0,80.7,81.8,9.4,22.2,3,2026-03-07
WKU,18-12,15-13-0,79.4,74.9,72.3,74.7,11.8,22.5,4,2026-03-07
WM,19-11,14-14-0,84.2,77.8,90.2,76.4,7.5,26.5,3,2026-03-07
WOF,19-12,15-14-0,79.0,77.2,78.4,73.8,9.3,22.8,2,2026-03-07
WYO,17-13,13-16-0,77.0,72.8,66.9,75.0,9.6,18.7,4,2026-03-07
XAV,14-16,15-15-0,78.4,79.7,74.6,84.3,8.2,21.9,1,2026-03-07
YALE,22-5,10-15,81.6,70.8,85.0,69.2,8.9,24.5,4,2026-03-07
